english,chinese
bleed,流血
bless,保佑
boil,煮沸
bold,大胆的
bother,打扰；烦恼
bottom,底部
branch,树枝；分支
breath,呼吸
brief,简短的
broaden,使变宽
broadcast,广播
budget,预算
burden,负担
calm,平静的
capture,捕获
cash,现金
casual,随意的
category,类别
ceremony,典礼
certainly,当然
chain,链条
chairman,主席
chapter,章节
chemical,化学的；化学品
claim,声称；索赔
clerk,职员
coach,教练；长途车
coast,海岸
comfortable,舒服的
comment,评论
committee,委员会
community,社区
competition,竞赛
conclusion,结论
condition,条件；状况
conference,会议
confirm,确认
congratulation,祝贺
consequence,结果
construct,建造
consume,消耗
contain,包含
contest,比赛
contribute,贡献
conversation,谈话
cooperate,合作
copy,复制；副本
crowd,人群
crucial,关键的
cruel,残忍的
curtain,窗帘
damage,损害
deal,处理；交易
debate,辩论
debt,债务
decade,十年
declare,宣布
decline,下降；拒绝
decrease,减少
defend,保卫
delay,延误
deliver,递送
demand,要求
democracy,民主
demonstrate,展示；证明
departure,离开；出发
despite,尽管
destroy,摧毁
determine,决定；查明
devote,投入
diet,日常饮食
digital,数字的
disappear,消失
disappoint,使失望
discipline,纪律
discount,折扣
dislike,不喜欢
downtown,市中心
earthquake,地震
educate,教育
effective,有效的
electricity,电
emotion,情感
employ,雇用
empty,空的
encounter,遭遇
endless,无尽的
engage,参与
enormous,巨大的
entertain,使娱乐
entrance,入口
equal,平等的
equipment,设备
error,错误
escape,逃脱
eventually,最终
evidence,证据
exactly,恰好地
excellent,优秀的
except,除了
exist,存在
expectation,期待
expense,费用
expert,专家
extraordinary,非凡的
failure,失败
fairly,相当地
fascinating,迷人的
fault,错误
fear,恐惧
fellow,同伴
fierce,激烈的
figure,数字；人物
firm,坚定的；公司
flight,飞行
focus,聚焦
fortunate,幸运的
freedom,自由
frequently,频繁地
function,功能
further,进一步地
garage,车库
global,全球的
gradually,逐渐地
harm,伤害
hesitate,犹豫
highlight,强调
identity,身份
ignore,忽视
independent,独立的
individual,个人；个体的
industry,工业
inform,通知
insist,坚持
instance,例子
intelligence,智力
item,项目
judge,判断；法官
justice,公正
kindness,善良
laughter,笑声
likely,可能的
maintain,维持
majority,大多数
measure,测量；措施
media,媒体
memory,记忆
mental,精神的
nearly,几乎
neither,两者都不
nervous,紧张的
normal,正常的
obvious,明显的
occasion,场合
operate,操作；动手术
opinion,意见
organize,组织
particular,特别的
peaceful,和平的
perform,表演；执行
period,时期；句号
personal,个人的
physical,身体的
plenty,大量
position,位置；职位
positive,积极的
powerful,强大的
practical,实用的
precious,珍贵的
predict,预测
prefer,更喜欢
prevent,阻止
private,私人的
promise,承诺
proper,恰当的
prove,证明
public,公众的
publish,出版
purpose,目的
quality,质量
quickly,迅速地
quietly,安静地
rather,相当
reality,现实
refuse,拒绝
regular,规则的；定期的
relax,放松
remain,保持；仍然是
remove,移除
repair,修理
reply,回答
report,报道；报告
request,请求
require,需要
research,研究
return,返回
safety,安全
satisfy,使满意
scene,场景
search,搜索
secret,秘密
seldom,很少
serious,严重的；严肃的
service,服务
share,分享
similar,相似的
situation,情况
skill,技能
source,来源
spirit,精神
spread,传播
strength,力量
succeed,成功
suggestion,建议
surface,表面
surprise,使惊讶；惊喜
system,系统
task,任务
technology,技术
temperature,温度
terrible,可怕的
theory,理论
therefore,因此
though,虽然
travel,旅行
treat,对待；治疗
trouble,麻烦
truth,真相
universe,宇宙
useful,有用的
usually,通常
value,价值
view,视野；观点
violent,暴力的
visit,访问
voice,声音
wealth,财富
welcome,欢迎
wisdom,智慧
youth,青年
